597.jpg	50	49	113	112	162	122
596.jpg	177	69	251	143	350	350
211.jpg	68	116	169	217	228	298
3.jpg	71	41	138	108	203	152
886.jpg	77	105	216	244	350	347
148.jpg	90	105	190	205	235	314
1199.jpg	79	54	129	104	260	300
449.jpg	70	27	269	226	350	261
581.jpg	72	151	230	309	350	350
1333.jpg	80	144	283	347	350	412
715.jpg	184	92	304	212	350	494
799.jpg	132	91	230	189	338	337
12.jpg	50	123	201	274	306	400
837.jpg	80	167	264	351	350	430
14.jpg	41	59	79	97	116	159
322.jpg	138	48	207	117	350	205
575.jpg	108	48	150	90	350	262
17.jpg	39	29	252	242	274	274
18.jpg	89	196	223	330	300	400
19.jpg	33	129	165	261	288	290
49.jpg	48	39	160	151	310	210
551.jpg	53	69	114	130	173	179
1755.jpg	69	139	211	281	350	479
1517.jpg	101	152	233	284	350	350
25.jpg	108	193	206	291	350	466
26.jpg	42	37	76	71	180	146
27.jpg	125	87	190	152	350	491
29.jpg	161	86	232	157	350	348
857.jpg	77	123	239	285	330	446
31.jpg	186	58	233	105	350	357
1991.jpg	29	169	301	441	350	502
1663.jpg	70	111	210	251	350	350
2067.jpg	142	81	223	162	318	404
1463.jpg	143	138	225	220	350	488
36.jpg	178	58	228	108	350	350
37.jpg	145	79	219	153	350	437
845.jpg	64	98	175	209	257	241
1717.jpg	163	136	306	279	350	537
969.jpg	136	112	279	255	350	346
42.jpg	46	29	93	76	135	100
429.jpg	76	95	142	161	300	245
44.jpg	98	103	227	232	340	425
45.jpg	55	106	142	193	249	329
377.jpg	39	51	104	116	204	163
1444.jpg	128	107	242	221	350	441
699.jpg	106	89	213	196	350	502
50.jpg	44	71	95	122	163	200
1665.jpg	147	30	209	92	350	262
848.jpg	228	94	281	147	350	276
74.jpg	107	89	197	179	300	250
1662.jpg	181	131	293	243	350	382
75.jpg	32	162	124	254	350	374
57.jpg	28	32	75	79	115	180
58.jpg	9	83	242	316	255	350
60.jpg	267	112	323	168	350	234
2024.jpg	42	56	211	225	350	351
1387.jpg	99	71	237	209	350	233
63.jpg	140	64	210	134	350	301
288.jpg	129	93	261	225	350	262
68.jpg	117	117	234	234	350	482
69.jpg	107	59	152	104	250	331
70.jpg	77	128	220	271	350	391
