82.jpg	236	71	315	150	350	262
1.jpg	121	23	176	78	350	217
3.jpg	89	112	214	237	300	383
4.jpg	277	81	305	109	350	249
81.jpg	42	56	196	210	220	275
8.jpg	54	15	80	41	160	160
9.jpg	78	55	151	128	260	360
97.jpg	167	37	230	100	350	350
15.jpg	88	53	156	121	350	248
51.jpg	119	59	164	104	344	344
18.jpg	138	93	203	158	350	432
19.jpg	34	40	95	101	140	150
20.jpg	85	57	162	134	244	183
21.jpg	64	48	131	115	220	165
23.jpg	115	57	167	109	340	340
29.jpg	51	74	141	164	200	284
34.jpg	119	28	160	69	200	137
35.jpg	56	42	118	104	200	277
36.jpg	127	33	180	86	270	250
95.jpg	171	41	221	91	350	239
48.jpg	81	41	114	74	240	240
53.jpg	187	48	244	105	350	245
89.jpg	82	177	244	339	350	525
74.jpg	19	31	86	98	100	115
75.jpg	231	58	296	123	300	231
88.jpg	225	78	301	154	350	231
90.jpg	160	49	196	85	350	227
101.jpg	254	33	317	96	350	232
