0.jpg	45	35	77	67	122	170
1.jpg	106	41	190	125	281	211
747.jpg	99	48	152	101	300	400
3.jpg	50	62	120	132	160	218
1004.jpg	121	92	191	162	300	556
6.jpg	222	56	259	93	350	237
1033.jpg	67	89	183	205	240	300
8.jpg	140	220	266	346	350	537
767.jpg	110	116	212	218	350	530
10.jpg	111	51	289	229	350	262
11.jpg	46	20	80	54	130	156
12.jpg	100	46	143	89	243	342
13.jpg	106	125	224	243	350	535
14.jpg	129	97	226	194	350	348
1696.jpg	106	212	201	307	350	524
101.jpg	141	166	315	340	350	490
42.jpg	117	124	246	253	350	456
18.jpg	149	52	244	147	305	400
19.jpg	67	127	163	223	300	300
20.jpg	37	40	82	85	112	164
470.jpg	121	48	175	102	281	400
168.jpg	141	78	204	141	350	477
203.jpg	156	101	231	176	350	255
24.jpg	105	36	240	171	350	196
26.jpg	121	95	223	197	350	376
232.jpg	66	74	143	151	180	240
28.jpg	98	97	212	211	300	400
119.jpg	73	132	214	273	300	379
30.jpg	45	37	77	69	126	150
917.jpg	44	0	295	251	350	262
1222.jpg	170	18	306	154	350	474
770.jpg	161	122	303	264	350	350
34.jpg	42	74	119	151	160	200
96.jpg	156	41	250	135	350	194
36.jpg	179	60	235	116	350	443
37.jpg	121	75	189	143	350	532
337.jpg	40	48	90	98	150	175
39.jpg	28	28	57	57	176	150
238.jpg	38	73	124	159	185	185
835.jpg	136	188	223	275	347	462
992.jpg	88	212	238	362	350	539
44.jpg	201	62	246	107	350	356
1192.jpg	127	126	268	267	350	458
46.jpg	89	25	125	61	180	120
1533.jpg	150	139	280	269	350	501
48.jpg	104	82	236	214	300	486
49.jpg	86	77	173	164	300	400
570.jpg	64	78	185	199	300	225
51.jpg	136	52	174	90	300	200
53.jpg	117	107	230	220	350	464
810.jpg	55	198	196	339	292	440
461.jpg	125	80	247	202	350	256
1109.jpg	112	90	187	165	350	465
708.jpg	145	43	216	114	350	235
59.jpg	135	94	228	187	350	350
